№;Дата;Тип ошибки;Описание ошибки;Статус;Приоритет
61;25.09.2024;Ошибка производительности;Замедление работы приложения при высокой нагрузке;В работе;Высокий
62;26.09.2024;Ошибка безопасности;Уязвимость в обработке пользовательских данных;Исправлено;Критический
63;27.09.2024;Ошибка безопасности;Неправильная настройка прав доступа для администраторов;Исправлено;Высокий
64;28.09.2024;Ошибка локализации;"Ошибка в переводе кнопки ""Сохранить"" на итальянский";Исправлено;Низкий
65;29.09.2024;Ошибка локализации;Некорректный перевод описания продукта на польский;Исправлено;Низкий
66;30.09.2024;Функциональный дефект;Ошибка в отображении истории платежей;В работе;Высокий
67;01.10.2024;Функциональный дефект;Невозможно изменить настройки уведомлений;В работе;Высокий
68;02.10.2024;Визуальный дефект;Неправильное отображение графиков на странице отчетов;Исправлено;Средний
69;03.10.2024;Ошибка производительности;Долгое время загрузки страницы с отчетами;Ожидает проверки;Средний
70;04.10.2024;Ошибка безопасности;Уязвимость в API для получения пользовательских данных;В работе;Критический
71;05.10.2024;Ошибка безопасности;Возможность обхода проверки прав доступа;Исправлено;Критический
